layer,count,mean,std,min,p01,p50,p99,max,fraction_zero_or_negative
stem_dense,2097152,-0.008205994963645935,4.23326301574707,-39.9892463684082,-12.177552223205566,0.23031556606292725,9.471741676330566,32.081886291503906,0.47537803649902344
resblock_1_add,2097152,-0.930915892124176,12.235386848449707,-80.3638916015625,-33.946266174316406,-0.9027891159057617,35.233245849609375,108.31698608398438,0.5388445854187012
resblock_2_add,2097152,-1.4549126625061035,13.937448501586914,-98.04803466796875,-36.52500915527344,-1.3181960582733154,34.271602630615234,110.99683380126953,0.5427241325378418
resblock_3_add,2097152,-3.0223636627197266,16.609262466430664,-140.50656127929688,-43.76748275756836,-2.8823180198669434,37.53882598876953,235.05575561523438,0.574744701385498
resblock_4_add,2097152,-7.069422721862793,20.24598503112793,-240.57191467285156,-56.7333869934082,-6.909034729003906,41.57126235961914,248.0918731689453,0.641087532043457
trunk_final_relu,2097152,0.09205614030361176,0.19686570763587952,0.0,0.0,0.0,0.8478332757949829,5.542740821838379,0.6952023506164551
temperature_head_dense_1,524288,0.09523646533489227,0.535750150680542,0.0,0.0,0.0,2.8361473083496094,9.539630889892578,0.9348220825195312
pressure_head_dense_1,524288,0.07350489497184753,0.5206634402275085,0.0,0.0,0.0,2.1318187713623047,8.816313743591309,0.9495964050292969
wind_u_head_dense_2,524288,0.4256206154823303,1.2273378372192383,0.0,0.0,0.0,6.006086826324463,18.937557220458984,0.8018646240234375
wind_v_head_dense_2,524288,0.46669864654541016,1.4321924448013306,0.0,0.0,0.0,7.136709213256836,26.60033416748047,0.8248119354248047
