layer_name,layer_type,output_shape,trainable_params,non_trainable_params
weather_features,InputLayer,,0,0
stem_dense,Dense,,19968,0
resblock_1_bn1,BatchNormalization,,1024,1024
resblock_1_relu1,Activation,,0,0
resblock_1_dense1,Dense,,262656,0
resblock_1_bn2,BatchNormalization,,1024,1024
resblock_1_relu2,Activation,,0,0
resblock_1_dense2,Dense,,262656,0
resblock_1_add,Add,,0,0
resblock_2_bn1,BatchNormalization,,1024,1024
resblock_2_relu1,Activation,,0,0
resblock_2_dense1,Dense,,262656,0
resblock_2_bn2,BatchNormalization,,1024,1024
resblock_2_relu2,Activation,,0,0
resblock_2_dense2,Dense,,262656,0
resblock_2_add,Add,,0,0
resblock_3_bn1,BatchNormalization,,1024,1024
resblock_3_relu1,Activation,,0,0
resblock_3_dense1,Dense,,262656,0
resblock_3_bn2,BatchNormalization,,1024,1024
resblock_3_relu2,Activation,,0,0
resblock_3_dense2,Dense,,262656,0
resblock_3_add,Add,,0,0
resblock_4_bn1,BatchNormalization,,1024,1024
resblock_4_relu1,Activation,,0,0
resblock_4_dense1,Dense,,262656,0
resblock_4_bn2,BatchNormalization,,1024,1024
resblock_4_relu2,Activation,,0,0
resblock_4_dense2,Dense,,262656,0
resblock_4_add,Add,,0,0
trunk_final_bn,BatchNormalization,,1024,1024
trunk_final_relu,Activation,,0,0
wind_u_head_dense_1,Dense,,131328,0
wind_v_head_dense_1,Dense,,131328,0
pressure_head_dense_1,Dense,,65664,0
temperature_head_dense_1,Dense,,65664,0
wind_u_head_dense_2,Dense,,32896,0
wind_v_head_dense_2,Dense,,32896,0
pressure_pa,Dense,,129,0
temperature_k,Dense,,129,0
wind_u,Dense,,129,0
wind_v,Dense,,129,0
