target,true_bin,predicted_bin,count,bin_edge_low,bin_edge_high
temperature_k,low,low,14906,182.78207397460938,220.39511108398438
temperature_k,low,mid,594,182.78207397460938,220.39511108398438
temperature_k,low,high,0,182.78207397460938,220.39511108398438
temperature_k,mid,low,553,220.39511108398438,256.57944742838544
temperature_k,mid,mid,14777,220.39511108398438,256.57944742838544
temperature_k,mid,high,170,220.39511108398438,256.57944742838544
temperature_k,high,low,0,256.57944742838544,319.57464599609375
temperature_k,high,mid,167,256.57944742838544,319.57464599609375
temperature_k,high,high,15333,256.57944742838544,319.57464599609375
pressure_pa,low,low,13740,1000.0,10000.0
pressure_pa,low,mid,0,1000.0,10000.0
pressure_pa,low,high,0,1000.0,10000.0
pressure_pa,mid,low,1360,10000.0,50000.0
pressure_pa,mid,mid,15025,10000.0,50000.0
pressure_pa,mid,high,0,10000.0,50000.0
pressure_pa,high,low,0,50000.0,100000.0
pressure_pa,high,mid,1408,50000.0,100000.0
pressure_pa,high,high,14967,50000.0,100000.0
wind_u,low,low,14073,-45.80262756347656,-1.2633158365885417
wind_u,low,mid,1425,-45.80262756347656,-1.2633158365885417
wind_u,low,high,2,-45.80262756347656,-1.2633158365885417
wind_u,mid,low,1377,-1.2633158365885417,10.326075236002604
wind_u,mid,mid,13265,-1.2633158365885417,10.326075236002604
wind_u,mid,high,858,-1.2633158365885417,10.326075236002604
wind_u,high,low,4,10.326075236002604,96.4212646484375
wind_u,high,mid,940,10.326075236002604,96.4212646484375
wind_u,high,high,14556,10.326075236002604,96.4212646484375
wind_v,low,low,12765,-65.99569702148438,-2.062596638997396
wind_v,low,mid,2633,-65.99569702148438,-2.062596638997396
wind_v,low,high,102,-65.99569702148438,-2.062596638997396
wind_v,mid,low,2096,-2.062596638997396,2.113418579101562
wind_v,mid,mid,11382,-2.062596638997396,2.113418579101562
wind_v,mid,high,2022,-2.062596638997396,2.113418579101562
wind_v,high,low,103,2.113418579101562,71.72373962402344
wind_v,high,mid,2613,2.113418579101562,71.72373962402344
wind_v,high,high,12784,2.113418579101562,71.72373962402344
